16:38:04 [Makine görselleri eklendi] Managed: 3 MB | Process: 261 MB
16:38:04 [Otomatik tablolar eklendi] Managed: 3 MB | Process: 261 MB
16:38:06 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 3 MB | Process: 221 MB
16:38:06 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 3 MB | Process: 221 MB
16:39:31 [Başlangıç] Managed: 3 MB | Process: 215 MB
16:39:31 [Kapak hazırlandı] Managed: 3 MB | Process: 218 MB
16:39:31 [Revizyon Tablosu hazırlandı] Managed: 3 MB | Process: 218 MB
16:39:31 [İncelenen Dökümanlar hazırlandı] Managed: 3 MB | Process: 218 MB
16:39:31 [Header/Footer hazırlandı] Managed: 3 MB | Process: 218 MB
16:39:31 [Makine görselleri eklendi] Managed: 3 MB | Process: 219 MB
16:39:31 [Otomatik tablolar eklendi] Managed: 3 MB | Process: 219 MB
16:39:33 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 3 MB | Process: 248 MB
16:39:33 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 3 MB | Process: 249 MB
16:39:33 [Bölge 1 - Risk 29 (Risk 3) eklendi] Managed: 3 MB | Process: 218 MB
16:39:33 [Bölge 1 - Risk 30 (Risk 4) eklendi] Managed: 3 MB | Process: 218 MB
16:39:33 [Bölge 1 - Risk 31 (Risk 5) eklendi] Managed: 3 MB | Process: 218 MB
16:39:33 [Bölge 1 - Risk 32 (Risk 6) eklendi] Managed: 3 MB | Process: 218 MB
16:39:33 [Bölge 1 - Risk 33 (Risk 7) eklendi] Managed: 3 MB | Process: 218 MB
16:39:33 [Bölge 1 - Risk 34 (Risk 8) eklendi] Managed: 3 MB | Process: 218 MB
16:39:33 [Bölge 1 - Risk 35 (Risk 9) eklendi] Managed: 3 MB | Process: 218 MB
16:39:33 [Bölge 1 - Risk 36 (Risk 10) eklendi] Managed: 3 MB | Process: 218 MB
16:39:33 [Bölge 1 - Risk 37 (Risk 11) eklendi] Managed: 3 MB | Process: 218 MB
16:39:33 [Bölge 1 - Risk 38 (Risk 12) eklendi] Managed: 3 MB | Process: 216 MB
16:39:33 [AltChunk ile birleştirme başlıyor] Managed: 3 MB | Process: 216 MB
16:39:35 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 3 MB | Process: 323 MB
16:39:35 [Temp dosyalar silindi (İşlem bitti)] Managed: 3 MB | Process: 323 MB
16:45:30 [Başlangıç] Managed: 1 MB | Process: 141 MB
